,Country,Region,Regulated Designation,Grape variety,Degree of alcohol,Sugar content,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,productReviews,image_link,Designation of origin,Classification,Special feature
54,United States,California,Table wine,"Shiraz 43 %, Zinfandel 41 %, Merlot 8 %",13 %,14 g/L,Red,750 ml,Apothic Wines,Gallo Canada Ltée (E. &amp; J.),11315497,00085000017746,,11315497,Apothic Red,Products,14.95,true,simple,3.65,3,https://www.saq.com/media/catalog/product/1/1/11315497-1_1584984920.png,,,
55,France,Alsace,(AOC/AOP) Appellation origine controlée/protégée,"Riesling 60 %, Pinot gris 25 %, Gewurztraminer 10 %, Muscat 5 %",12.5 %,4.5 g/L,White,750 ml,Arthur Metz,Les Sélections François Fréchette,14018412,03183520705185,,14018412,Arthur Metz Sushi,Products,17.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14018412-1_1578549022.png,Alsace,,
56,Canada,"Quebec, Montérégie",Protected geographical indication (PGI),"Marquette 80 %, Frontenac 20 %",12.5 %,2.5 g/L,Red,750 ml,Vignoble Les Artisans du Terroir,,14567585,00827924038106,Origine Québec,14567585,Artisans du Terroir Prémices,Products,16.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14567585-1_1605537048.png,,Quebec wine certified,
57,Portugal,"Vinho Verde, Minho",Vinho regional,Alvarinho 100 %,12.5 %,3.1 g/L,White,750 ml,Aveleda Sociedade Agricola e Commercial,Vins Philippe Dandurand Ltée,14432744,05601096401303,,14432744,Aveleda Alvarinho Minho,Products,14.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/4/14432744-1_1590783317.png,,,
58,France,,Wine of France,Merlot 100 %,0.5 %,38 g/L,Red,750 ml,Groupe Uccoar SA,Univins et spiritueux Inc,14323871,03249381025418,,14323871,Artis Merlot Vin de France,Products,9.5,true,simple,4,1,https://www.saq.com/media/catalog/product/1/4/14323871-1_1590615021.png,,,
59,Greece,,Epitrapezios inos (VDT),"Assyrtiko 90 %, Aidani 5 %, Athiri 5 %",13 %,2.6 g/L,White,750 ml,Domaine I.M. Argyros,Oenopole Inc.,11097477,05200323010600,,11097477,Argyros Atlantis,Products,22.8,true,simple,0,0,https://www.saq.com/media/catalog/product/1/1/11097477-1_1582040124.png,,,
60,Argentina,,Vino de mesa,Sauvignon blanc,13 %,1.9 g/L,White,750 ml,Bodegas Trapiche,Vins Philippe Dandurand Ltée,10394533,07790240090277,,10394533,Astica Sauvignon Blanc,Products,8.85,true,simple,0,0,https://www.saq.com/media/catalog/product/1/0/10394533-1_1580596816.png,,,
61,Spain,Côte Méditerranéenne,Denominación de origen (DO),"Macabeo 60 %, Sauvignon blanc 40 %",13 %,1.3 g/L,White,750 ml,Bodega Aranléon,Univins et spiritueux Inc,13792422,08437004254320,,13792422,Aranléon Blés Valencia,Products,13.95,true,simple,0,0,https://www.saq.com/media/catalog/product/1/3/13792422-1_1578542417.png,Valencia,Joven,Organic product
62,France,"Languedoc-Roussillon, Pyrénée-Orientale",(VDP/IGP) Vin de pays/Indication géographique protégée,Merlot,13 %,1.7 g/L,Red,4 L,La Maison Kléber,"Vins Arterra Canada, division Québec Inc",447334,00774336473349,Bottled in Québec,447334,Antoine Bonet Merlot,Products,49.25,true,simple,1,1,https://www.saq.com/media/catalog/product/4/4/447334-1_1606227649.png,,,
63,Italy,Lombardy,Denominazione di origine controllata e garantita (DOCG),Nebbiolo 100 %,13 %,,Red,750 ml,Arpepe,Oenopole Inc.,13587883,08033315730197,,13587883,Ar.Pe.Pe. Grumello Rocca de Piro Riserva,Products,62.75,true,simple,0,,https://www.saq.com/media/catalog/product/1/3/13587883-1_1578538515.png,Valtellina Superiore,Superiore,
