Country,Region,Degree of alcohol,Color,Size,Producer,Promoting agent,SAQ code,UPC code,Product of Québec,productSku,productName,productCategory,productPrice,productInStock,productType,productAvgScore,image_link,productReviews,Classification,Special feature,Designation of origin,Regulated Designation,Grape variety,Sugar content
United States,Kentucky,45 %,Brown,750 ml,Baron Samedi,Forty Creek Distillery LTD,13263416,00069321004494,,13263416,Baron Samedi,Products,29.9,true,simple,4.5,https://www.saq.com/media/catalog/product/1/3/13263416-1_1578443413.png,2,,,,,,
Canada,Quebec,43 %,,750 ml,Montbel Vins et Spiritueux Inc,Vertigo Vins et Spiritueux Inc.,14346820,00628075801034,Bottled in Québec,14346820,Bold Gin,Products,34,true,simple,4.5,https://www.saq.com/media/catalog/product/1/4/14346820-1_1584374902.png,2,London dry gin,,,,,
United Kingdom,England,42 %,,750 ml,Bombay Spirits Company,Bacardi Canada Inc.,12275861,00080480981426,,12275861,Bombay Sapphire East,Products,29.95,true,simple,5,https://www.saq.com/media/catalog/product/1/2/12275861-1_1580662515.png,1,London dry gin,,,London dry gin,,
Russian Federation,,40 %,,750 ml,Synergy Group,Corporation Bella Vita International,14235433,00850346005173,,14235433,Beluga Allure,Products,82,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14235433-1_1578554710.png,,Number of distilaltions,,,,,
Canada,Quebec,23 %,Brown,750 ml,Mondia Alliance,Univins et spiritueux Inc,13567962,00057496008508,Bottled in Québec,13567962,Barista,Products,30.25,true,simple,5,https://www.saq.com/media/catalog/product/1/3/13567962-1_1578537910.png,1,,,,,,
Canada,Quebec,43 %,,750 ml,Distillerie Vice Vertu,Esprit Rézin 9317-2724 Qc Inc. (spirit.),13483523,00040232630835,Made in Québec,13483523,BeOrigin,Products,49.5,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13483523-1_1578536418.png,0,,,,,,
Dominican Republic,,40 %,,750 ml,Brugal &amp; Co,Beam Canada Inc.,12434560,00842047003480,,12434560,Brugal Extra Dry,Products,28.4,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12434560-1_1580664921.png,,,,,,,
Canada,Ontario,40 %,Amber,1.14 L,The Canadian Club Whisky Company,Beam Canada Inc.,11495424,00080686821311,,11495424,Canadian Club,Products,38,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11495424-1_1594925115.png,0,,,,,,
Canada,Quebec,41 %,Golden,750 ml,Artist in Residence Distillerie,Artist In Residence Distillerie inc. (R),14217008,00628055952114,Made in Québec,14217008,Bumblebee,Products,40,true,simple,1,https://www.saq.com/media/catalog/product/1/4/14217008-1_1605794132.png,2,,,,,,
Canada,,35 %,,750 ml,Captain Morgan Rum Co.,Diageo Canada Inc.,11975284,00082000759416,Bottled in Québec,11975284,Captain Morgan Spiced,Products,25.7,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11975284-1_1595256046.png,1,,,,,,
United Kingdom,North Ireland,40 %,Amber,750 ml,The Old Bushmills Distillery Co.,Mosaiq Vins et Spiritueux Inc.,10753874,00811538016315,,10753874,Bushmills Original,Products,32.75,true,simple,5,https://www.saq.com/media/catalog/product/1/0/10753874-1_1606768839.png,2,,,,,,
Canada,Quebec,35 %,Amber,750 ml,Captain Morgan Rum Co.,Diageo Canada Inc.,500512,00087000151086,Bottled in Québec,500512,Captain Morgan Original Spiced,Products,28.4,true,simple,0,https://www.saq.com/media/catalog/product/5/0/500512-1_1580601920.png,0,,,,,,
Canada,Ontario,40 %,Amber,750 ml,The Canadian Club Whisky Company,Beam Canada Inc.,126466,00080686817437,,126466,Canadian Club Classic 12 Years Old,Products,29,true,simple,4,https://www.saq.com/media/catalog/product/1/2/126466-1_1580592019.png,2,,,,,,
Canada,Ontario,40 %,Amber,750 ml,The Canadian Club Whisky Company,Beam Canada Inc.,42,00080686816157,,42,Canadian Club,Products,25.15,true,simple,0,https://www.saq.com/media/catalog/product/4/2/42-1_1580601012.png,0,,,,,,
Canada,Quebec,40 %,Brown,1.14 L,Captain Morgan Rum Co.,Diageo Canada Inc.,11582659,00087000150331,Bottled in Québec,11582659,Captain Morgan Dark,Products,35.5,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11582659-1_1595530225.png,,,,,,,
United States,Connecticut,47.3 %,Amber,750 ml,Captain Morgan Rum Co.,Diageo Canada Inc.,11741390,00082000759409,,11741390,Captain Morgan Black,Products,30.75,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11741390-1_1593714364.png,1,,,,,,
Dominican Republic,,40 %,Amber,750 ml,Brugal &amp; Co,Beam Canada Inc.,11662683,07460855202197,,11662683,Brugal Anejo Superior,Products,28.55,true,simple,4,https://www.saq.com/media/catalog/product/1/1/11662683-1_1580625315.png,1,,,,,,
Canada,,40 %,Amber,750 ml,Jim Beam Brands Co,Beam Canada Inc.,12592980,00080686823261,,12592980,Canadian Club 100% Rye,Products,27.25,true,simple,5,https://www.saq.com/media/catalog/product/1/2/12592980-1_1579824607.png,1,,,,,,
Canada,Quebec,35 %,Amber,1.14 L,Captain Morgan Rum Co.,Diageo Canada Inc.,11584478,00087000151109,Bottled in Québec,11584478,Captain Morgan Original Spiced,Products,40.5,true,simple,5,https://www.saq.com/media/catalog/product/1/1/11584478-1_1580623816.png,1,,,,,,
Italy,,25 %,Red,750 ml,Davide Campari,Forty Creek Distillery LTD,277954,00081375100618,,277954,Campari,Products,27.3,true,simple,5,https://www.saq.com/media/catalog/product/2/7/277954-1_1580593219.png,1,,,,,,
United Kingdom,"Scotland, Islay",50 %,Golden,750 ml,Bruichladdich Distillery Company Limited,Southern Glazers Wine,12471715,05055807400091,,12471715,Bruichladdich The Classic Laddie Scottish Barley Unpeated Islay Single Malt Scotch Whisky,Products,68.25,true,simple,3.75,https://www.saq.com/media/catalog/product/1/2/12471715-1_1583954448.png,4,,,,,,
Canada,Quebec,35 %,Amber,1.75 L,Captain Morgan Rum Co.,Diageo Canada Inc.,11342049,00087000151116,Bottled in Québec,11342049,Captain Morgan Original Spiced,Products,58.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11342049-1_1600969524.png,0,,,,,,
United Kingdom,North Ireland,40 %,Amber,750 ml,The Old Bushmills Distillery Co.,Mosaiq Vins et Spiritueux Inc.,13064257,00811538016278,,13064257,Bushmills Black Bush,Products,37.75,true,simple,0,https://www.saq.com/media/catalog/product/1/3/13064257-1_1605891031.png,0,Sherrywood,,,,,
Canada,,43.2 %,Amber,750 ml,Les Spiritueux Ungava Ltée,Corby Spiritueux et Vins Limitée,12729341,00854745000982,Bottled in Québec,12729341,Canadian Shield,Products,35.5,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12729341-1_1578408923.png,0,,,,,,
United States,Connecticut,40 %,Amber,750 ml,Captain Morgan Rum Co.,Diageo Canada Inc.,11459731,00082000741756,,11459731,Captain Morgan Private Stock,Products,32.25,true,simple,0,https://www.saq.com/media/catalog/product/1/1/11459731-1_1580621428.png,0,,,,,,
Spain,,18 %,Brown,700 ml,Beveland Distillers,Tocade,12103621,08414771863924,,12103621,BVLand Butterscotch,Products,27.25,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12103621-1_1580659518.png,0,,,,,,
United States,Kentucky,45 %,Amber,750 ml,The Bulleit Distillering,Diageo Canada Inc.,11155956,00082000788546,,11155956,Bulleit Frontier Bourbon,Products,37.75,true,simple,2.5,https://www.saq.com/media/catalog/product/1/1/11155956-1_1580613908.png,2,,,,,,
France,"Poitou-Charentes, Borderies",40 %,Amber,700 ml,Camus International,"Elixirs, Vins et Spiritueux Inc.",13971594,03028130075528,,13971594,Camus Extra Dark & Intense Travel Retail  XO Borderies,Products,752.25,true,simple,0,,,X.O. (Extra Old),,Cognac,Appellation origine controlée (AOC),Ugni blanc 100 %,
United States,Kentucky,45 %,Amber,750 ml,Buffalo Trace Distillery,Charton Hobbs Inc,10263891,00080244009236,,10263891,Buffalo Trace Kentucky Bourbon,Products,41.75,true,simple,4.55,https://www.saq.com/media/catalog/product/1/0/10263891-1_1580595016.png,7,,,,,,
France,,35 %,,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,12041707,00088076178731,,12041707,Ciroc Peach,Products,47.75,true,simple,0,https://www.saq.com/media/catalog/product/1/2/12041707-1_1580658916.png,0,,,,,,
France,Normandie,40 %,Golden,700 ml,Calvados Christian Drouin,Sélections Oeno Inc,14160144,03297364070016,,14160144,Christian Drouin Calvados Sélection,Products,43,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14160144-1_1581450920.png,,AC: 2 ans en barrique,,Calvados,Appellation origine controlée (AOC),,
Italy,,35 %,,750 ml,Diageo Canada Inc.,Diageo Canada Inc.,14441270,00082000792857,,14441270,Cîroc Mangue,Products,47.75,true,simple,5,https://www.saq.com/media/catalog/product/1/4/14441270-1_1588272915.png,2,,,,,,
Canada,Quebec,40 %,,750 ml,Cherry River,Univins et spiritueux Inc,14561781,00627987103663,Made in Québec,14561781,Cherry River,Products,44,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14561781-1_1603914368.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Cherry River,Amphora Vins Fins et Spiritueux,14250123,00627987103601,Bottled in Québec,14250123,Cherry River Cerises Sauvages,Products,44.25,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14250123-1_1578554714.png,0,,,,,,
Canada,Quebec,40 %,,750 ml,Cherry River,Amphora Vins Fins et Spiritueux,14064873,00627987103595,Bottled in Québec,14064873,Cherry River Érable,Products,46.5,true,simple,0,https://www.saq.com/media/catalog/product/1/4/14064873-1_1581089487.png,0,,,,,,
